time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
338,9.11,0.00,0.00,inf,50.00,516.19,-2598.00,2648.00,-1341056.73
339,9.11,0.00,0.00,inf,50.00,516.19,-4264.67,4314.67,-2201370.26
340,9.11,0.00,0.00,inf,50.00,516.19,-1971.67,2021.67,-1017750.90
341,9.11,0.00,0.00,inf,50.00,516.19,-1108.00,1158.00,-571936.43
342,9.11,0.00,0.00,inf,50.00,516.19,-3408.00,3458.00,-1759169.10
343,9.11,0.00,0.00,inf,50.00,516.19,-2567.00,2617.00,-1325054.90
344,9.11,0.00,0.00,inf,50.00,516.19,-1474.33,1524.33,-761033.35
345,9.11,0.00,0.00,inf,50.00,516.19,-1973.00,2023.00,-1018439.15
346,9.11,0.00,0.00,inf,50.00,511.65,-2860.67,2910.67,-1463666.37
347,9.11,0.00,0.00,inf,50.00,511.65,-1521.33,1571.33,-778393.54
348,9.11,0.00,0.00,inf,50.00,511.65,-1930.00,1980.00,-987488.73
349,9.11,0.00,0.00,inf,50.00,511.65,-1846.00,1896.00,-944509.95
350,9.11,0.00,0.00,inf,50.00,511.65,-1988.67,2038.67,-1017505.66
351,9.11,0.00,0.00,inf,50.00,511.65,-3850.33,3900.33,-1970031.50
352,9.11,0.00,0.00,inf,50.00,511.65,-1505.00,1555.00,-770036.55
353,9.11,0.00,0.00,inf,50.00,511.65,-2016.33,2066.33,-1031661.37
354,9.11,0.00,0.00,inf,50.00,511.65,-1160.33,1210.33,-593687.10
355,9.11,0.00,0.00,inf,50.00,511.65,-1607.67,1657.67,-822566.18
356,9.11,0.00,0.00,inf,50.00,511.65,-1263.67,1313.67,-646557.82
357,9.11,0.00,0.00,inf,50.00,511.65,-1503.33,1553.33,-769183.80
358,9.11,0.00,0.00,inf,50.00,511.65,-1130.67,1180.67,-578508.08
359,9.11,0.00,0.00,inf,50.00,511.65,-2137.33,2187.33,-1093571.29
360,9.11,0.00,0.00,inf,50.00,511.65,-1757.33,1807.33,-899143.45
361,9.11,0.00,0.00,inf,50.00,533.88,-1875.67,1925.67,-1001377.58
362,9.11,0.00,0.00,inf,50.00,533.88,-1604.67,1654.67,-856696.58
363,9.11,0.00,0.00,inf,50.00,533.88,-1326.67,1376.67,-708278.44
364,9.11,0.00,0.00,inf,50.00,533.88,-1987.00,2037.00,-1060816.02
365,9.11,0.00,0.00,inf,50.00,533.88,-1119.67,1169.67,-597765.65
366,9.11,0.00,0.00,inf,50.00,533.88,-1767.33,1817.33,-943540.77
367,9.11,0.00,0.00,inf,50.00,533.88,-1157.67,1207.67,-618053.02
368,9.11,0.00,0.00,inf,50.00,533.88,-1982.67,2032.67,-1058502.55
369,9.11,0.00,0.00,inf,50.00,533.88,-1324.33,1374.33,-707032.72
370,9.11,0.00,0.00,inf,50.00,533.88,-2025.00,2075.00,-1081103.39
371,9.11,0.00,0.00,inf,50.00,533.88,-1722.33,1772.33,-919516.25
372,9.11,0.00,0.00,inf,50.00,533.88,-2069.00,2119.00,-1104594.04
373,9.11,0.00,0.00,inf,50.00,533.88,-1486.67,1536.67,-793698.95
374,9.11,0.00,0.00,inf,50.00,533.88,-1798.67,1848.67,-960268.96
375,9.11,0.00,0.00,inf,50.00,533.88,-2069.33,2119.33,-1104772.00
376,9.11,0.00,0.00,inf,50.00,508.48,-2041.00,2091.00,-1037801.65
377,9.11,0.00,0.00,inf,50.00,508.48,-2263.00,2313.00,-1150683.56
378,9.11,0.00,0.00,inf,50.00,508.48,-1422.67,1472.67,-723393.35
379,9.11,0.00,0.00,inf,50.00,508.48,-1373.00,1423.00,-698138.99
380,9.11,0.00,0.00,inf,50.00,508.48,-1523.67,1573.67,-774749.53
381,9.11,0.00,0.00,inf,50.00,508.48,-1575.00,1625.00,-800851.35
382,9.11,0.00,0.00,inf,50.00,508.48,-1890.67,1940.67,-961360.60
383,9.11,0.00,0.00,inf,50.00,508.48,-1410.67,1460.67,-717291.62
384,9.11,0.00,0.00,inf,50.00,508.48,-1253.33,1303.33,-637291.23
385,9.11,0.00,0.00,inf,50.00,508.48,-1129.00,1179.00,-574070.59
386,9.11,0.00,0.00,inf,50.00,508.48,-1205.33,1255.33,-612884.33
387,9.11,0.00,0.00,inf,50.00,508.48,-1356.67,1406.67,-689833.86
388,9.11,0.00,0.00,inf,50.00,508.48,-1616.33,1666.33,-821868.40
389,9.11,0.00,0.00,inf,50.00,508.48,-1446.67,1496.67,-735596.79
390,9.11,0.00,0.00,inf,50.00,508.48,-1724.00,1774.00,-876614.43
391,9.11,0.00,0.00,inf,50.00,520.27,-1892.33,1942.33,-984525.11
392,9.11,0.00,0.00,inf,50.00,520.27,-1443.33,1493.33,-750923.68
393,9.11,0.00,0.00,inf,50.00,520.27,-1438.67,1488.67,-748495.75
394,9.11,0.00,0.00,inf,50.00,520.27,-1164.33,1214.33,-605768.23
395,9.11,0.00,0.00,inf,50.00,520.27,-1889.67,1939.67,-983137.72
396,9.11,0.00,0.00,inf,50.00,520.27,-1690.67,1740.67,-879603.90
397,9.11,0.00,0.00,inf,50.00,520.27,-1735.33,1785.33,-902842.65
398,9.11,0.00,0.00,inf,50.00,520.27,-1790.00,1840.00,-931284.10
399,9.11,0.00,0.00,inf,50.00,520.27,-2267.33,2317.33,-1179626.53
400,9.11,0.00,0.00,inf,50.00,520.27,-2185.67,2235.67,-1137137.78
401,9.11,0.00,0.00,inf,50.00,520.27,-1545.67,1595.67,-804164.69
402,9.11,0.00,0.00,inf,50.00,520.27,-1639.33,1689.33,-852896.69
403,9.11,0.00,0.00,inf,50.00,520.27,-1651.00,1701.00,-858966.51
404,9.11,0.00,0.00,inf,50.00,520.27,-2146.33,2196.33,-1116673.81
405,9.11,0.00,0.00,inf,50.00,520.27,-1566.33,1616.33,-814916.95
406,9.11,0.00,0.00,inf,50.00,499.41,-1330.33,1380.33,-664375.38
407,9.11,0.00,0.00,inf,50.00,499.41,-1333.33,1383.33,-665873.60
408,9.11,0.00,0.00,inf,50.00,499.41,-1900.33,1950.33,-949036.35
409,9.11,0.00,0.00,inf,50.00,499.41,-1799.00,1849.00,-898429.95
410,9.11,0.00,0.00,inf,50.00,499.41,-1830.67,1880.67,-914244.45
411,9.11,0.00,0.00,inf,50.00,499.41,-1612.33,1662.33,-805207.65
412,9.11,0.00,0.00,inf,50.00,499.41,-711.33,761.33,-355243.57
413,9.11,0.00,0.00,inf,50.00,499.41,-1081.67,1131.67,-540189.96
414,9.11,0.00,0.00,inf,50.00,499.41,-2099.33,2149.33,-1048417.98
415,9.11,0.00,0.00,inf,50.00,499.41,-1943.00,1993.00,-970344.30
416,9.11,0.00,0.00,inf,50.00,499.41,-1237.67,1287.67,-618097.17
417,9.11,0.00,0.00,inf,50.00,499.41,-1968.33,2018.33,-982995.90
418,9.11,0.00,0.00,inf,50.00,499.41,-878.33,928.33,-438644.23
419,9.11,0.00,0.00,inf,50.00,499.41,-2020.67,2070.67,-1009131.44
420,9.11,0.00,0.00,inf,50.00,499.41,-1362.67,1412.67,-680522.82
421,9.11,0.00,0.00,inf,50.00,526.62,-676.33,726.33,-356171.16
422,9.11,0.00,0.00,inf,50.00,526.62,-545.00,595.00,-287008.30
423,9.11,0.00,0.00,inf,50.00,526.62,-320.33,370.33,-168694.18
424,9.11,0.00,0.00,inf,50.00,526.62,-270.00,320.00,-142187.60
425,9.11,0.00,0.00,inf,50.00,526.62,-847.00,897.00,-446047.77
426,9.11,0.00,0.00,inf,50.00,526.62,-392.33,442.33,-206610.87
427,9.11,0.00,0.00,inf,50.00,526.62,-157.33,207.33,-82855.00
428,9.11,0.00,0.00,inf,50.00,526.62,-1969.67,2019.67,-1037267.32
429,9.11,0.00,0.00,inf,50.00,526.62,-1122.00,1172.00,-590868.47
430,9.11,0.00,0.00,inf,50.00,526.62,-1536.67,1586.67,-809240.54
431,9.11,0.00,0.00,inf,50.00,526.62,-720.67,770.67,-379518.01
432,9.11,0.00,0.00,inf,50.00,526.62,-1519.67,1569.67,-800287.99
433,9.11,0.00,0.00,inf,50.00,526.62,-1365.67,1415.67,-719188.39
434,9.11,0.00,0.00,inf,50.00,526.62,-559.33,609.33,-294556.53
435,9.11,0.00,0.00,inf,50.00,526.62,-427.33,477.33,-225042.60
436,9.11,0.00,0.00,inf,50.00,516.19,-45.33,95.33,-23400.53
437,9.11,0.00,0.00,inf,50.00,516.19,-1225.67,1275.67,-632674.57
438,9.11,0.00,0.00,inf,50.00,516.19,-61.67,111.67,-31831.60
439,9.11,0.00,0.00,inf,50.00,516.19,-944.33,994.33,-487453.65
440,9.11,0.00,0.00,inf,50.00,516.19,-112.33,162.33,-57985.13
441,9.11,0.00,0.00,inf,50.00,516.19,-143.00,193.00,-73814.90
442,9.11,0.00,0.00,inf,50.00,516.19,-267.00,317.00,-137822.23
443,9.10,0.00,50.00,inf,50.00,516.19,0.00,0.00,0.00
444,9.10,0.00,0.00,inf,50.00,516.19,-500.00,550.00,-258094.06
445,9.10,0.00,0.00,inf,50.00,516.19,-764.00,814.00,-394367.72
446,9.10,0.00,0.00,inf,50.00,516.19,-590.67,640.67,-304895.11
447,9.10,0.00,0.00,inf,50.00,516.19,0.00,50.00,0.00
448,9.10,0.00,0.00,inf,50.00,516.19,-561.33,611.33,-289753.60
449,9.10,0.00,0.00,inf,50.00,516.19,-141.67,191.67,-73126.65
450,9.10,0.00,0.00,inf,50.00,516.19,-185.67,235.67,-95838.93
451,9.10,0.00,0.00,inf,50.00,513.92,-260.33,310.33,-133790.55
452,9.10,0.00,0.00,inf,50.00,513.92,-291.00,341.00,-149550.77
453,9.10,0.00,0.00,inf,50.00,513.92,-348.00,398.00,-178844.21
454,9.08,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
455,9.08,0.00,0.00,inf,50.00,513.92,-730.33,780.33,-375333.02
456,9.07,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
457,9.07,0.00,0.00,inf,50.00,513.92,-295.00,345.00,-151606.45
458,9.06,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
459,9.04,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
460,9.03,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
461,9.03,0.00,0.00,inf,50.00,513.92,-439.00,489.00,-225610.95
462,9.03,0.00,0.00,inf,50.00,513.92,-59.00,109.00,-30321.29
463,9.03,0.00,0.00,inf,50.00,513.92,-617.67,667.67,-317431.35
464,9.03,0.00,0.00,inf,50.00,513.92,-103.33,153.33,-53105.08
465,9.01,0.00,50.00,inf,50.00,513.92,0.00,0.00,0.00
466,9.01,0.00,0.00,inf,50.00,512.11,-175.67,225.67,-89959.92
467,9.01,0.00,0.00,inf,50.00,512.11,-44.00,94.00,-22532.65
468,9.00,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
469,8.99,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
470,8.99,0.00,0.00,inf,50.00,512.11,-467.67,517.67,-239494.81
471,8.99,0.00,0.00,inf,50.00,512.11,-269.67,319.67,-138097.86
472,8.97,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
473,8.97,0.00,0.00,inf,50.00,512.11,-126.33,176.33,-64696.03
474,8.96,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
475,8.94,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
476,8.94,0.00,0.00,inf,50.00,512.11,-91.33,141.33,-46772.33
477,8.93,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
478,8.92,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
479,8.90,0.00,50.00,inf,50.00,512.11,0.00,0.00,0.00
480,8.90,0.00,0.00,inf,50.00,512.11,-183.00,233.00,-93715.36
481,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
482,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
483,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
484,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
485,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
486,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
487,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
488,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
489,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
490,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
491,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
492,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
493,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
494,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
495,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
496,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
497,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
498,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
499,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24
500,8.90,0.00,0.00,inf,50.00,512.11,-128.33,178.33,-65720.24

